record_id,query_id,scenario,actual_label,predicted_label,actual_severity,predicted_severity,error_type,priority_score,baseline_execution_time,current_execution_time,execution_time_change_percent,plan_changed,index_changed,statistics_status,workload_level,release_id,detected_before_user_impact,lead_time_seconds,evidence_strength
1,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,15.06,3.86,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
2,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,15.05,3.79,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
3,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,14.32,-1.24,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
4,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,13.88,-4.28,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
5,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,13.8,-4.83,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
6,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,14.5,14.38,-0.83,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
7,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,15.21,4.9,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
8,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,14.5,13.98,-3.59,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
9,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,13.56,-6.48,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
10,SYNTH-Q-001,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,14.5,14.14,-2.48,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
11,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,11.13,-0.62,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
12,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,11.2,11.29,0.8,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
13,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,10.65,-4.91,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
14,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,10.71,-4.37,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
15,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,10.72,-4.29,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
16,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,11.2,11.12,-0.71,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
17,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,10.94,-2.32,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
18,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,11.98,6.96,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
19,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,11.44,2.14,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
20,SYNTH-Q-002,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,11.2,11.13,-0.62,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
21,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,22.0,21.38,-2.82,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
22,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,22.0,23.13,5.14,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
23,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,22.0,20.47,-6.95,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
